Longitude,Latitude,PB_Nreq_Cetin,PB_CSR%
-112.333,40.976,19.872,21.356
-112.289,40.976,19.484,20.788
-110.862,40.976,14.731,15.22
-110.817,40.976,15.463,16.093
-112.422,41.012,19.463,20.756
-112.378,41.012,19.81,21.251
-112.333,41.012,19.889,21.379
-112.289,41.012,19.34,20.596
-110.862,41.012,13.041,13.435
-110.817,41.012,13.58,13.99
-112.422,41.048,18.862,19.892
-112.378,41.048,19.274,20.466
-112.333,41.048,19.031,20.134
-110.862,41.048,14.282,14.704
-110.817,41.048,14.456,14.908
-112.556,41.157,17.625,18.255
-112.512,41.157,18.071,18.819
-112.467,41.157,18.032,18.754
-112.556,41.194,17.452,18.024
-112.512,41.194,17.758,18.416
-112.021,41.303,18.763,19.863
-111.976,41.303,18.533,19.555
-112.066,41.339,19.422,20.785
-112.021,41.339,19.658,21.152
-111.976,41.339,19.451,20.872
-112.066,41.375,19.107,20.368
-112.021,41.375,19.245,20.577
-111.976,41.375,18.419,19.431
-112.066,41.412,18.969,20.18
-112.11,41.448,18.225,19.149
-112.066,41.448,18.5,19.528
-112.021,41.448,18.313,19.285
-112.066,41.484,18.234,19.176
-112.021,41.484,18.391,19.387
-112.066,41.521,18.124,19.047
-112.021,41.521,18.231,19.2
-112.066,41.557,17.868,18.712
-111.753,39.994,14.258,14.559
-111.709,39.994,13.988,14.3
-111.664,39.994,13.244,13.554
-111.753,40.031,14.519,14.818
-111.709,40.031,14.462,14.77
-111.664,40.031,13.947,14.241
-111.753,40.067,14.766,15.063
-111.709,40.067,14.61,14.913
-111.62,40.067,13.213,13.519
-111.753,40.103,14.45,14.722
-111.709,40.103,14.904,15.22
-111.664,40.103,14.799,15.105
-111.62,40.103,13.442,13.726
-111.575,40.103,12.778,13.101
