Long,Lat,DET_ana_Type,***Performance_Based***,PB_ana_Type,PB_Return_P.,PB_Cetin_Uncorr_Strain,Cetin_percent,PB_IandY_Uncorr_Strain,IandY_percent,PB_Cetin_Equiv_Strain,PB_IandY_Equiv_Strain,PB_Seismic_Slope_Disp_RandS,PB_Seismic_Slope_Disp_BandT
-112.149,39.239,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.565955245
-112.056,39.24,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.644567486
-111.964,39.241,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.712546764
-111.871,39.242,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.760036197
-111.778,39.242,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.761356724
-111.686,39.243,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.768780313
-111.593,39.243,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.740839959
-111.5,39.244,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.724439967
-111.407,39.244,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.679576294
-111.315,39.245,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.619864483
-111.222,39.245,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.531261558
-111.129,39.245,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-111.037,39.245,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-110.944,39.245,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-110.851,39.245,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-110.758,39.245,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-110.666,39.244,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-110.573,39.244,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-110.48,39.244,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-110.388,39.243,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-110.295,39.243,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-110.202,39.242,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-112.614,39.306,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-112.521,39.307,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-112.428,39.308,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-112.336,39.309,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-112.243,39.31,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-112.15,39.311,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.552872379
-112.057,39.312,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.636249264
-111.965,39.313,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.707816574
-111.872,39.314,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.759126423
-111.779,39.314,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.760498344
-111.686,39.315,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.738436107
-111.593,39.316,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.715952656
-111.501,39.316,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.702159756
-111.408,39.316,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.648605022
-111.222,39.317,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.518108075
-111.129,39.317,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-111.037,39.317,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-110.944,39.317,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-110.851,39.317,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-110.758,39.317,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-110.665,39.317,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-110.573,39.316,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-110.48,39.316,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-110.387,39.315,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-110.294,39.315,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-110.201,39.314,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-112.523,39.379,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-112.43,39.38,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-112.337,39.381,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-112.244,39.382,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-112.151,39.383,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.533634819
-112.058,39.384,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.638426945
-111.966,39.385,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.720078908
-111.873,39.386,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.763635209
-111.78,39.387,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.740281166
-111.687,39.387,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.72864159
