Longitude,Latitude,DET_ana_Type,***Performance_Based***,PB_amax,PB_Mw,PB_FSliq_Cetin,PB_FSliq_IandB,PB_FSliq_Juang,PB_Nreq_Cetin,PB_Nreq_IandB,PB_Nreq_Juang,PB_ana_Type,PB_Return_P.,PB_CSR%
-114.239,41.395,Mean,***|,N/A,N/A,2.268,2.474,N/A,6.508,2.838,N/A,N/A,1033,8.46
-113.904,41.395,Mean,***|,N/A,N/A,2.119,2.318,N/A,7.448,3.78,N/A,N/A,1033,9.03
-114.239,41.668,Mean,***|,N/A,N/A,2.37,2.577,N/A,5.896,2.257,N/A,N/A,1033,8.123
-113.904,41.668,Mean,***|,N/A,N/A,2.166,2.36,N/A,7.14,3.524,N/A,N/A,1033,8.872
-114.239,41.94,Mean,***|,N/A,N/A,2.554,2.765,N/A,4.868,1.254,N/A,N/A,1033,7.569
-113.904,41.94,Mean,***|,N/A,N/A,2.317,2.517,N/A,6.211,2.594,N/A,N/A,1033,8.317
-113.904,42.212,Mean,***|,N/A,N/A,2.616,2.814,N/A,4.543,1,N/A,N/A,1033,7.434
-113.568,42.212,Mean,***|,N/A,N/A,2.372,2.592,N/A,5.886,2.169,N/A,N/A,1033,8.073
-113.233,42.212,Mean,***|,N/A,N/A,2.003,2.201,N/A,8.219,4.543,N/A,N/A,1033,9.512
-114.072,36.904,Mean,***|,N/A,N/A,2.017,2.213,N/A,8.12,4.46,N/A,N/A,1033,9.459
-113.848,36.904,Mean,***|,N/A,N/A,2.06,2.262,N/A,7.831,4.136,N/A,N/A,1033,9.253
-113.625,36.904,Mean,***|,N/A,N/A,1.854,2.037,N/A,9.292,5.701,N/A,N/A,1033,10.278
-113.402,36.904,Mean,***|,N/A,N/A,1.703,1.872,N/A,10.462,6.99,N/A,N/A,1033,11.176
-113.178,36.904,Mean,***|,N/A,N/A,1.816,1.999,N/A,9.573,5.978,N/A,N/A,1033,10.467
-112.955,36.904,Mean,***|,N/A,N/A,1.922,2.114,N/A,8.789,5.133,N/A,N/A,1033,9.897
-112.731,36.904,Mean,***|,N/A,N/A,1.991,2.189,N/A,8.303,4.622,N/A,N/A,1033,9.563
-112.508,36.904,Mean,***|,N/A,N/A,2.132,2.336,N/A,7.363,3.667,N/A,N/A,1033,8.96
-114.072,37.086,Mean,***|,N/A,N/A,1.929,2.115,N/A,8.744,5.127,N/A,N/A,1033,9.893
-113.848,37.086,Mean,***|,N/A,N/A,1.946,2.136,N/A,8.624,4.975,N/A,N/A,1033,9.793
