Lon,Lat,D (m)
-111.362,39.412,0.15315
-111.247,39.412,0.13176
-111.133,39.412,0.10607
-112.165,39.5,0.16361
-112.05,39.5,0.24733
-111.935,39.5,0.38717
-111.821,39.5,0.41909
-111.706,39.5,0.28186
-111.477,39.5,0.17878
-111.362,39.5,0.16905
-111.247,39.5,0.14164
-111.133,39.5,0.11302
-112.165,39.589,0.18932
-112.05,39.589,0.29367
-111.935,39.589,0.49513
-111.821,39.589,0.79566
-111.706,39.589,0.43866
-111.591,39.589,0.27601
-111.362,39.589,0.18744
-111.247,39.589,0.15454
-112.165,39.677,0.23789
-112.05,39.677,0.37308
-111.935,39.677,0.70105
-111.821,39.677,1.43898
-111.706,39.677,0.63177
-111.591,39.677,0.36034
-112.165,39.765,0.27826
-112.05,39.765,0.43911
-111.935,39.765,0.85359
-111.821,39.765,2.76944
-111.706,39.765,0.78206
-111.591,39.765,0.44415
-112.165,39.853,0.29496
-112.05,39.853,0.48277
-111.935,39.853,0.9243
-111.821,39.853,3.28089
-111.706,39.853,1.17534
-111.591,39.853,0.63704
-111.477,39.853,0.39351
-112.165,39.941,0.3187
-112.05,39.941,0.50476
-111.935,39.941,0.97425
-111.821,39.941,2.53989
-111.706,39.941,2.62655
-111.591,39.941,1.05555
-111.477,39.941,0.56303
-111.362,39.941,0.37477
-112.165,40.03,0.33752
-112.05,40.03,0.49076
-111.935,40.03,0.84212
-111.821,40.03,1.77531
-111.706,40.03,4.04449
-111.591,40.03,1.98609
-111.477,40.03,0.89556
-111.362,40.03,0.49985
-112.623,40.118,0.24354
-112.165,40.118,0.34877
-112.05,40.118,0.47219
-111.935,40.118,0.71052
-111.821,40.118,1.24652
-111.706,40.118,2.21821
-111.591,40.118,3.0723
-111.477,40.118,1.31345
-111.362,40.118,0.58682
-111.247,40.118,0.42732
-112.853,40.206,0.17454
-112.738,40.206,0.27278
-112.623,40.206,0.42745
-112.509,40.206,0.50442
-112.05,40.206,0.48547
-111.935,40.206,0.6223
-111.821,40.206,0.93871
-111.706,40.206,1.82204
-111.591,40.206,3.19705
-111.477,40.206,1.0148
-111.362,40.206,0.53746
-111.247,40.206,0.40112
-112.968,40.294,0.15063
-112.853,40.294,0.24795
-112.738,40.294,0.44359
-112.623,40.294,0.89059
-112.509,40.294,0.79351
-112.394,40.294,0.53275
-112.165,40.294,0.44605
-112.05,40.294,0.58443
-111.935,40.294,0.75745
-111.821,40.294,1.05456
-111.706,40.294,2.21593
-111.591,40.294,2.22812
-111.477,40.294,0.70722
-111.362,40.294,0.42452
-112.968,40.383,0.17921
-112.853,40.383,0.33557
-112.738,40.383,0.84549
-112.623,40.383,1.25582
-112.509,40.383,0.59244
-112.394,40.383,0.46768
-112.279,40.383,0.44373
-112.165,40.383,0.54472
-112.05,40.383,0.69272
-111.935,40.383,1.12796
-111.821,40.383,1.87401
-111.706,40.383,4.04992
-111.591,40.383,1.07728
-111.477,40.383,0.57307
-111.362,40.383,0.3663
-112.968,40.471,0.19479
-112.853,40.471,0.38472
-112.738,40.471,1.12235
-112.623,40.471,0.8203
-112.509,40.471,0.44533
-112.394,40.471,0.39973
-112.279,40.471,0.45538
-112.165,40.471,0.57701
-112.05,40.471,0.86958
-111.935,40.471,1.77572
-111.821,40.471,4.24754
-111.706,40.471,2.1088
-111.591,40.471,0.78705
-111.477,40.471,0.4222
-112.968,40.559,0.18234
-112.853,40.559,0.33913
-112.738,40.559,0.90039
-112.623,40.559,0.8691
-112.509,40.559,0.45532
-112.394,40.559,0.42154
-112.279,40.559,0.54964
-112.165,40.559,0.67878
-112.05,40.559,0.86862
-111.935,40.559,1.53535
-111.821,40.559,4.07616
-111.706,40.559,1.74232
-111.591,40.559,0.75858
-111.477,40.559,0.40362
-112.968,40.647,0.16759
-112.853,40.647,0.28566
-112.738,40.647,0.58468
-112.623,40.647,0.63428
-112.509,40.647,0.44093
-112.394,40.647,0.49203
-112.279,40.647,0.84196
-112.165,40.647,0.83629
-112.05,40.647,0.87073
-111.935,40.647,1.74491
-111.821,40.647,4.70718
-111.706,40.647,1.26163
-111.591,40.647,0.64036
-111.477,40.647,0.36903
-111.018,40.647,0.1277
-110.903,40.647,0.1408
-110.789,40.647,0.14229
-110.674,40.647,0.11591
-112.853,40.736,0.22011
-112.738,40.736,0.32153
-112.623,40.736,0.40447
-112.509,40.736,0.44414
-112.394,40.736,0.59087
