Long,Lat,DET_ana_Type,***Performance_Based***,PB_ana_Type,PB_Return_P.,PB_Cetin_Uncorr_Strain,Cetin_percent,PB_IandY_Uncorr_Strain,IandY_percent,PB_Cetin_Equiv_Strain,PB_IandY_Equiv_Strain,PB_Seismic_Slope_Disp_RandS,PB_Seismic_Slope_Disp_BandT
-111.5,39.172,Mean,***|,N/A,1033,0.00106059,0.106058981,0,0,0.00106059,0,0.780731961,2.277342747
-111.407,39.172,Mean,***|,N/A,1033,0.001067866,0.106786606,0,0,0.001067866,0,0.805163546,2.321660197
-111.314,39.172,Mean,***|,N/A,1033,0.001342352,0.134235209,0,0,0.001342352,0,0.716588414,2.194800103
-111.222,39.173,Mean,***|,N/A,1033,0.001756485,0.17564851,0,0,0.001756485,0,0.586946595,1.992313734
-111.129,39.173,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,1.718670408
-111.037,39.173,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,1.428829456
-110.944,39.173,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,1.239502961
-110.851,39.173,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,1.005003752
-110.759,39.173,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,0.882283334
-110.666,39.172,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,0.752081392
-110.574,39.172,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,0.6133888
-110.481,39.172,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,0.524046156
-110.388,39.171,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,0.5
-110.296,39.171,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,0.5
-110.203,39.17,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,0.5
-112.612,39.234,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,0.68757665
-112.52,39.235,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,0.816042418
-112.427,39.236,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,0.99984254
-112.334,39.237,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,1.185161874
-112.242,39.238,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,1.429364197
-112.149,39.239,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,1.638397939
-112.056,39.24,Mean,***|,N/A,1033,0.001566892,0.156689197,0,0,0.001566892,0,0.520228362,1.866457947
-111.964,39.241,Mean,***|,N/A,1033,0.001208208,0.120820775,0,0,0.001208208,0,0.645028235,2.057065843
-111.871,39.242,Mean,***|,N/A,1033,0.002938362,0.29383619,0,0,0.002938362,0,0.739307825,2.197789275
-111.778,39.242,Mean,***|,N/A,1033,0.001016408,0.101640827,0,0,0.001016408,0,0.721161599,2.179148193
-111.686,39.243,Mean,***|,N/A,1033,0.002913038,0.291303794,0,0,0.002913038,0,0.761982717,2.242518973
